hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000I7xWaQAJ,,,32237,,,a0R4K0000020w2DUAQ,
0034K00000B8uNfQAJ,,,,,,a0R4K0000020w2DUAQ,
0034K00000B8gO1QAJ,78,23.61,239165,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KbmUAE
0034K00000BAy3KQAT,96,95,1238278,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KbwUAE
0034K00000B8gOeQAJ,96,93.61,406821,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KbsUAE
0034K00000B8gNrQAJ,100,89.4425,1041707,3,1,a0R4K0000020w2DUAQ,a0P4K0000012KbiUAE
0034K00000B8gNvQAJ,91,93.61,655482,2,2,a0R4K0000020w2DUAQ,a0P4K0000012Kl8UAE
0034K00000BBF44QAH,,0,57088,,,a0R4K0000020w2DUAQ,a0P4K0000012KbzUAE
0034K000009yExdQAE,96,94.445,744346,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KbgUAE
0034K00000B8gOOQAZ,100,92.7775,696430,3,3,a0R4K0000020w2DUAQ,a0P4K0000012KbpUAE
0034K00000B8gOFQAZ,99,86.9425,606555,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KboUAE
0034K00000I8Q8EQAV,91,97.5,281336,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KbjUAE
0034K00000BBF3vQAH,100,93.61,1264251,2,3,a0R4K0000020w2DUAQ,a0P4K0000012KbyUAE
0034K00000BBPB8QAP,90,91.945,566208,1,2,a0R4K0000020w2DUAQ,a0P4K0000012Kc0UAE
0034K00000BAy3DQAT,100,89.445,1024793,2,2,a0R4K0000020w2DUAQ,a0P4K0000012KbvUAE
0034K00000B8gOBQAZ,100,93.3325,1252406,3,3,a0R4K0000020w2DUAQ,a0P4K0000012KbnUAE
0034K00000B8gNoQAJ,96,83.335,82926,2,1,a0R4K0000020w2DUAQ,a0P4K0000012KbhUAE
0034K00000B8uNUQAZ,,,58962,,,a0R4K0000020w2DUAQ,a0P4K0000012Kc2UAE
0034K0000081hl8QAA,,,738642,,,a0R4K0000020w2DUAQ,a0P4K0000012TEjUAM
0034K00000AApEBQA1,65,82.9175,72565,2,1,a0R4K0000020w2DUAQ,
