hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000AAqD5QAL,,,32980,,,a0R4K000001z16cUAA,a0P4K000001LuzQUAS
0034K00000BAy34QAD,100,88.635,518086,1,3,a0R4K000001z16cUAA,a0P4K000001LuzRUAS
0034K00000B8gO1QAJ,100,71.59,219604,3,3,a0R4K000001z16cUAA,a0P4K000001LuzTUAS
0034K00000B8gOhQAJ,100,64.77,38278,2,2,a0R4K000001z16cUAA,a0P4K000001LuzUUAS
0034K00000B8gOQQAZ,100,81.82,310581,3,2,a0R4K000001z16cUAA,a0P4K000001LuzVUAS
0034K00000BAy3UQAT,100,96.59,903576,2,3,a0R4K000001z16cUAA,a0P4K00000122vzUAA
0034K000009yddnQAA,100,45.455,46167,2,1,a0R4K000001z16cUAA,
0034K000009yICQQA2,,0,0,,,a0R4K000001z16cUAA,a0P4K000001LuzYUAS
0034K00000BAy2zQAD,100,73.86,86509,3,2,a0R4K000001z16cUAA,a0P4K000001LuzaUAC
0034K00000B8gO7QAJ,100,64.775,391420,3,2,a0R4K000001z16cUAA,a0P4K000001LuzfUAC
0034K00000AAqO5QAL,100,67.045,327024,2,2,a0R4K000001z16cUAA,a0P4K000001LuzgUAC
0034K00000BAy3KQAT,100,78.41,533851,2,3,a0R4K000001z16cUAA,a0P4K000001LuzhUAC
0034K00000B8gOeQAJ,100,85.225,161377,3,2,a0R4K000001z16cUAA,a0P4K000001LuziUAC
0034K00000AAq5WQAT,100,76.135,1000894,2,3,a0R4K000001z16cUAA,a0P4K000001LuzjUAC
0034K00000B8gNrQAJ,100,76.135,397423,3,1,a0R4K000001z16cUAA,a0P4K000001LuzkUAC
0034K00000B8gNvQAJ,100,88.635,311286,2,2,a0R4K000001z16cUAA,a0P4K000001LuzqUAC
0034K00000AApMVQA1,100,0,194795,1,2,a0R4K000001z16cUAA,
0034K00000B8gNtQAJ,100,47.725,231664,2,2,a0R4K000001z16cUAA,a0P4K000001LuzsUAC
0034K00000BBF44QAH,100,73.865,36790,3,3,a0R4K000001z16cUAA,a0P4K000001LuztUAC
0034K00000B8gOEQAZ,100,0,3049,1,1,a0R4K000001z16cUAA,a0P4K000001LuzuUAC
0034K000009yExdQAE,100,88.635,214119,3,2,a0R4K000001z16cUAA,
0034K00000AApmnQAD,100,94.315,380076,2,2,a0R4K000001z16cUAA,a0P4K000001LuzwUAC
0034K00000B8gOMQAZ,100,92.045,45099,1,1,a0R4K000001z16cUAA,a0P4K000001LuzxUAC
0034K00000B8gNuQAJ,100,97.725,143776,3,2,a0R4K000001z16cUAA,a0P4K000001LuzyUAC
0034K00000B8gONQAZ,100,87.5,309661,2,3,a0R4K000001z16cUAA,a0P4K000001LuzzUAC
0034K00000B8gORQAZ,100,79.545,308946,3,3,a0R4K000001z16cUAA,a0P4K000001Lv00UAC
0034K00000B8gOOQAZ,100,92.045,418690,2,2,a0R4K000001z16cUAA,a0P4K000001Lv01UAC
0034K00000B8gOZQAZ,100,56.815,214637,3,1,a0R4K000001z16cUAA,a0P4K000001Lv02UAC
0034K00000BAy38QAD,100,69.32,196362,3,2,a0R4K000001z16cUAA,a0P4K000001Lv04UAC
0034K00000AAq56QAD,100,84.09,310448,3,3,a0R4K000001z16cUAA,a0P4K000001Lv07UAC
0034K00000B8gO5QAJ,100,72.725,8283,2,1,a0R4K000001z16cUAA,a0P4K000001Lv08UAC
0034K00000B8gOUQAZ,100,95.455,71651,2,2,a0R4K000001z16cUAA,a0P4K000001Lv09UAC
0034K00000BAy3NQAT,100,85.23,304329,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0BUAS
0034K00000B8gOFQAZ,100,72.73,257004,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0EUAS
0034K00000B8gO6QAJ,100,67.045,154144,3,2,a0R4K000001z16cUAA,a0P4K000001Lv0IUAS
0034K00000AAqLlQAL,100,77.27,51168,3,2,a0R4K000001z16cUAA,
0034K00000BAy3eQAD,100,43.18,122175,3,3,a0R4K000001z16cUAA,a0P4K000001Lv0LUAS
0034K00000AApoWQAT,100,0,216729,1,1,a0R4K000001z16cUAA,a0P4K000001Lv0MUAS
0034K00000B8gNsQAJ,100,85.23,242293,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0OUAS
0034K00000I6xHHQAZ,100,0,0,0,0,a0R4K000001z16cUAA,
0034K00000B8gOIQAZ,100,79.545,451808,3,3,a0R4K000001z16cUAA,a0P4K000001Lv0PUAS
0034K00000I8Q8EQAV,100,70.455,359013,3,2,a0R4K000001z16cUAA,a0P4K000001Lv0XUAS
0034K00000B8gNyQAJ,100,42.045,726151,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0YUAS
0034K00000BBEtyQAH,100,88.64,215774,3,3,a0R4K000001z16cUAA,a0P4K000001Lv0ZUAS
0034K00000AAqLcQAL,100,0,132575,0,1,a0R4K000001z16cUAA,a0P4K000001Lv0fUAC
0034K00000BAy3nQAD,,0,585,0,1,a0R4K000001z16cUAA,a0P4K000001Lv0gUAC
0034K00000AAheMQAT,100,0,271077,3,1,a0R4K000001z16cUAA,a0P4K000001Lv0hUAC
0034K00000B8gO2QAJ,100,93.18,291706,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0iUAC
0034K00000B8gO9QAJ,100,80.685,290529,2,3,a0R4K000001z16cUAA,a0P4K000001Lv0jUAC
0034K00000AAp6EQAT,100,87.5,314820,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0kUAC
0034K00000BBF3vQAH,100,50,712645,2,3,a0R4K000001z16cUAA,a0P4K000001Lv0lUAC
0034K00000B8gOYQAZ,100,57.955,263315,2,3,a0R4K000001z16cUAA,a0P4K000001Lv0nUAC
0034K00000B8gOWQAZ,100,92.045,391849,2,3,a0R4K000001z16cUAA,a0P4K000001Lv0pUAC
0034K00000BAy31QAD,100,80.68,436272,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0rUAC
0034K00000B8gOXQAZ,100,0,517821,2,1,a0R4K000001z16cUAA,a0P4K000001Lv0sUAC
0034K00000B8gOkQAJ,100,92.045,98437,3,2,a0R4K000001z16cUAA,a0P4K000001Lv0tUAC
0034K00000BBF3wQAH,,68.185,350909,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0uUAC
0034K00000B8gOKQAZ,100,73.865,227428,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0wUAC
0034K00000BBPB8QAP,100,38.635,312232,1,2,a0R4K000001z16cUAA,a0P4K000001LwwpUAC
0034K00000B8gO0QAJ,100,1.135,190569,2,2,a0R4K000001z16cUAA,a0P4K000001Lv0zUAC
0034K00000BBF3uQAH,100,90.91,930217,3,3,a0R4K000001z16cUAA,a0P4K000001Lv10UAC
0034K00000BAy3XQAT,100,93.18,275661,2,2,a0R4K000001z16cUAA,a0P4K000001Lv12UAC
0034K00000BAy3jQAD,100,0,0,,,a0R4K000001z16cUAA,a0P4K000001Lv13UAC
0034K00000B8gOmQAJ,100,93.18,541689,2,2,a0R4K000001z16cUAA,a0P4K000001Lv14UAC
0034K00000B8gOfQAJ,100,71.595,87981,2,2,a0R4K000001z16cUAA,a0P4K000001Lv15UAC
