hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000B8uNfQAJ,,0,,,,a0R4K000001z5CJUAY,
0034K00000B8uMEQAZ,,0,328,,,a0R4K000001z5CJUAY,
0034K000009yExdQAE,100,80.2725,677572,2,2,a0R4K000001z5CJUAY,a0P4K000000fx1yUAA
0034K00000B8gNoQAJ,100,77.0775,170711,3,1,a0R4K000001z5CJUAY,a0P4K000000fx2rUAA
0034K00000B8gNrQAJ,100,79.0175,1639802,2,2,a0R4K000001z5CJUAY,a0P4K000000fx1sUAA
0034K00000I8Q8EQAV,100,79.725,803982,2,2,a0R4K000001z5CJUAY,a0P4K000000fx2JUAQ
0034K00000B8gNxQAJ,,0,6374,,,a0R4K000001z5CJUAY,a0P4K000000fx2qUAA
0034K00000B8gNyQAJ,100,43.9225,1299760,3,2,a0R4K000001z5CJUAY,a0P4K000000fx2KUAQ
0034K00000B8gO1QAJ,100,78.545,368372,2,3,a0R4K000001z5CJUAY,a0P4K000000fx1gUAA
0034K00000B8gOBQAZ,100,90.3275,1374214,2,3,a0R4K000001z5CJUAY,a0P4K000000fx2nUAA
0034K00000B8gOFQAZ,100,73.2575,543047,2,2,a0R4K000001z5CJUAY,a0P4K000000fx2BUAQ
0034K00000B8gOOQAZ,100,84.8425,861512,2,3,a0R4K000001z5CJUAY,a0P4K000000fx24UAA
0034K00000B8gOZQAZ,100,22.80666667,429706,2,2,a0R4K000001z5CJUAY,a0P4K000000fx25UAA
0034K00000AAq5WQAT,100,65.5725,1851539,3,3,a0R4K000001z5CJUAY,a0P4K000000fx1rUAA
0034K00000B8gOeQAJ,100,92.7825,568841,2,2,a0R4K000001z5CJUAY,a0P4K000000fx1qUAA
0034K00000AAheMQAT,100,0,389206,1,1,a0R4K000001z5CJUAY,a0P4K000000fx2OUAQ
0034K00000B8gOmQAJ,100,6.58,481910,2,1,a0R4K000001z5CJUAY,a0P4K000000fx2fUAA
0034K00000BAy3DQAT,100,92.2375,1159831,3,2,a0R4K000001z5CJUAY,a0P4K000000fx2hUAA
0034K00000BAy3KQAT,100,79.6575,1217004,3,2,a0R4K000001z5CJUAY,a0P4K000000fx1pUAA
0034K00000BAy3eQAD,100,15.1325,265850,2,2,a0R4K000001z5CJUAY,a0P4K000000fx2EUAQ
0034K00000BBF3vQAH,100,91.5225,1114981,3,3,a0R4K000001z5CJUAY,a0P4K000000fx2SUAQ
0034K00000BBF44QAH,100,69.8175,164217,2,2,a0R4K000001z5CJUAY,a0P4K000000fx1wUAA
0034K00000BBPB8QAP,100,90.15,975397,2,3,a0R4K000001z5CJUAY,a0P4K000000fx2aUAA
0034K00000I6xHHQAZ,100,0,0,,,a0R4K000001z5CJUAY,a0P4K000000fx2HUAQ
0034K00000B8uNUQAZ,,0,195563,,,a0R4K000001z5CJUAY,a0P4K000000fx2uUAA
0034K00000B8gNvQAJ,100,82.565,747298,2,2,a0R4K000001z5CJUAY,a0P4K000000fx1tUAA
0034K00000AApoWQAT,100,0,215043,1,1,a0R4K000001z5CJUAY,a0P4K000000fx2FUAQ
0034K0000081eLyQAI,,,0,,,a0R4K000001z5CJUAY,
0034K00000LDlYOQA1,,,201763,,,a0R4K000001z5CJUAY,
0034K0000081hl8QAA,,,234392,,,a0R4K000001z5CJUAY,
