hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000B8uNfQAJ,,,,,,a0R4K000002ycAwUAI,
0034K00000AApEBQA1,,,21614,0,2,a0R4K000002ycAwUAI,
0034K00000BAy34QAD,,,1230,0,1,a0R4K000002ycAwUAI,
0034K000009yjMmQAI,,,19221,0,3,a0R4K000002ycAwUAI,
0034K00000AApaZQAT,,,109088,0,3,a0R4K000002ycAwUAI,
0034K00000B8gO1QAJ,,,0,,,a0R4K000002ycAwUAI,
0034K00000B8gOhQAJ,,,12846,0,3,a0R4K000002ycAwUAI,
0034K00000B8gOQQAZ,,,20280,0,3,a0R4K000002ycAwUAI,
0034K00000BAy3UQAT,,,113478,0,1,a0R4K000002ycAwUAI,
0034K00000BAy3wQAD,,,20289,0,2,a0R4K000002ycAwUAI,
0034K00000B8gO3QAJ,,,43481,0,2,a0R4K000002ycAwUAI,
0034K00000BAy2zQAD,,,13044,0,3,a0R4K000002ycAwUAI,
0034K00000B8gO7QAJ,,,2529,0,2,a0R4K000002ycAwUAI,
0034K00000AAqO5QAL,,,618,0,1,a0R4K000002ycAwUAI,
0034K000009yF7rQAE,,,7713,0,3,a0R4K000002ycAwUAI,
0034K00000BAy3KQAT,,,136942,0,2,a0R4K000002ycAwUAI,
0034K00000B8gOeQAJ,,,5244,0,1,a0R4K000002ycAwUAI,
0034K00000B8gNrQAJ,,,440,0,2,a0R4K000002ycAwUAI,
0034K00000B8gNvQAJ,,,2958,0,2,a0R4K000002ycAwUAI,
0034K00000B8gOPQAZ,,,3726,0,1,a0R4K000002ycAwUAI,
0034K000009yExdQAE,,,2343,0,1,a0R4K000002ycAwUAI,
0034K00000AApmnQAD,,,4833,0,1,a0R4K000002ycAwUAI,
0034K00000AAqOhQAL,,,1241,0,2,a0R4K000002ycAwUAI,
0034K00000B8gNuQAJ,,,7890,0,2,a0R4K000002ycAwUAI,
